Datetime,Close,High,Low,Open,Volume
,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
2025-12-10 09:15:00,15998.0,16000.0,15990.0,15999.0,1659
2025-12-10 09:20:00,15951.0,15999.0,15931.0,15999.0,6547
2025-12-10 09:25:00,15971.0,15974.0,15945.0,15950.0,3795
2025-12-10 09:30:00,16006.0,16013.0,15973.0,15981.0,10148
2025-12-10 09:35:00,16013.0,16017.0,15997.0,16006.0,7640
2025-12-10 09:40:00,16020.0,16029.0,16012.0,16013.0,8618
2025-12-10 09:45:00,16033.0,16035.0,16020.0,16020.0,9449
2025-12-10 09:50:00,16030.0,16040.0,16028.0,16040.0,12575
2025-12-10 09:55:00,16001.0,16034.0,15980.0,16032.0,9707
2025-12-11 09:15:00,16216.0,16236.0,16214.0,16232.0,4197
2025-12-11 09:20:00,16231.0,16240.0,16210.0,16217.0,3410
2025-12-11 09:25:00,16242.0,16248.0,16231.0,16231.0,2856
2025-12-11 09:30:00,16273.0,16273.0,16248.0,16248.0,4266
2025-12-11 09:35:00,16271.0,16277.0,16259.0,16272.0,3382
2025-12-11 09:40:00,16259.0,16276.0,16255.0,16270.0,5967
2025-12-11 09:45:00,16270.0,16278.0,16256.0,16258.0,6949
2025-12-11 09:50:00,16229.0,16290.0,16225.0,16270.0,10301
2025-12-11 09:55:00,16248.0,16248.0,16210.0,16229.0,16919
2025-12-12 09:15:00,16511.0,16511.0,16493.0,16498.0,9208
2025-12-12 09:20:00,16511.0,16511.0,16503.0,16511.0,4057
2025-12-12 09:25:00,16520.0,16520.0,16510.0,16510.0,5075
2025-12-12 09:30:00,16519.0,16528.0,16511.0,16525.0,7366
2025-12-12 09:35:00,16522.0,16524.0,16518.0,16521.0,5563
2025-12-12 09:40:00,16526.0,16526.0,16515.0,16523.0,8981
2025-12-12 09:45:00,16524.0,16525.0,16508.0,16525.0,12588
2025-12-12 09:50:00,16530.0,16530.0,16515.0,16523.0,12444
2025-12-12 09:55:00,16522.0,16536.0,16512.0,16530.0,8240
2025-12-15 09:15:00,16410.0,16420.0,16410.0,16418.0,4870
2025-12-15 09:20:00,16423.0,16425.0,16409.0,16412.0,2698
2025-12-15 09:25:00,16430.0,16435.0,16416.0,16416.0,4043
2025-12-15 09:30:00,16431.0,16435.0,16427.0,16427.0,32451
2025-12-15 09:35:00,16429.0,16433.0,16425.0,16429.0,8581
2025-12-15 09:40:00,16430.0,16439.0,16425.0,16432.0,6620
2025-12-15 09:45:00,16397.0,16433.0,16390.0,16427.0,14954
2025-12-15 09:50:00,16398.0,16408.0,16370.0,16396.0,9098
2025-12-15 09:55:00,16415.0,16415.0,16371.0,16396.0,13857
2025-12-16 09:15:00,16388.0,16397.0,16384.0,16397.0,1545
2025-12-16 09:20:00,16390.0,16392.0,16385.0,16388.0,3234
2025-12-16 09:25:00,16391.0,16391.0,16386.0,16389.0,2980
2025-12-16 09:30:00,16363.0,16392.0,16363.0,16390.0,6809
2025-12-16 09:35:00,16360.0,16370.0,16359.0,16363.0,4919
2025-12-16 09:40:00,16353.0,16362.0,16352.0,16361.0,5868
2025-12-16 09:45:00,16349.0,16356.0,16348.0,16353.0,6792
2025-12-16 09:50:00,16334.0,16346.0,16334.0,16346.0,6160
2025-12-16 09:55:00,16349.0,16349.0,16320.0,16334.0,6638
2025-12-17 09:15:00,16399.0,16400.0,16383.0,16392.0,2239
2025-12-17 09:20:00,16397.0,16400.0,16397.0,16400.0,3778
2025-12-17 09:25:00,16399.0,16401.0,16392.0,16399.0,2071
2025-12-17 09:30:00,16398.0,16400.0,16397.0,16400.0,5974
2025-12-17 09:35:00,16400.0,16400.0,16397.0,16399.0,5440
2025-12-17 09:40:00,16396.0,16400.0,16394.0,16400.0,8003
2025-12-17 09:45:00,16393.0,16399.0,16390.0,16399.0,7978
2025-12-17 09:50:00,16400.0,16400.0,16392.0,16393.0,7577
2025-12-17 09:55:00,16385.0,16414.0,16373.0,16400.0,7103
2025-12-18 09:15:00,16317.0,16329.0,16312.0,16329.0,2242
2025-12-18 09:20:00,16302.0,16319.0,16290.0,16318.0,7548
2025-12-18 09:25:00,16304.0,16309.0,16292.0,16302.0,1685
2025-12-18 09:30:00,16359.0,16365.0,16312.0,16326.0,5282
2025-12-18 09:35:00,16347.0,16356.0,16342.0,16354.0,4649
2025-12-18 09:40:00,16331.0,16351.0,16328.0,16347.0,4648
2025-12-18 09:45:00,16328.0,16339.0,16323.0,16331.0,8118
