Datetime,Close,High,Low,Open,Volume
,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
2025-12-10 09:15:00,1252.9000244140625,1253.0,1250.0,1250.199951171875,36791
2025-12-10 09:20:00,1250.5,1253.0,1250.5,1253.0,18940
2025-12-10 09:25:00,1250.5999755859375,1251.0,1249.5999755859375,1251.0,7011
2025-12-10 09:30:00,1252.699951171875,1252.800048828125,1250.5,1250.5999755859375,32504
2025-12-10 09:35:00,1252.5,1253.0,1252.4000244140625,1252.699951171875,43930
2025-12-10 09:40:00,1251.699951171875,1252.9000244140625,1251.699951171875,1252.5999755859375,40182
2025-12-10 09:45:00,1250.5,1252.0999755859375,1250.5,1251.699951171875,83015
2025-12-10 09:50:00,1248.4000244140625,1250.699951171875,1247.699951171875,1250.699951171875,74923
2025-12-10 09:55:00,1247.0999755859375,1251.699951171875,1247.0999755859375,1247.9000244140625,57189
2025-12-11 09:15:00,1270.0,1271.699951171875,1269.0,1271.300048828125,19301
2025-12-11 09:20:00,1270.5999755859375,1271.300048828125,1269.800048828125,1269.9000244140625,16794
2025-12-11 09:25:00,1271.199951171875,1271.300048828125,1270.5,1270.5,7346
2025-12-11 09:30:00,1272.0999755859375,1272.300048828125,1271.0,1271.4000244140625,19467
2025-12-11 09:35:00,1272.0999755859375,1272.4000244140625,1271.5999755859375,1271.9000244140625,20800
2025-12-11 09:40:00,1273.0999755859375,1273.5,1272.199951171875,1272.199951171875,32197
2025-12-11 09:45:00,1274.4000244140625,1274.5,1273.0,1273.300048828125,37290
2025-12-11 09:50:00,1274.800048828125,1275.199951171875,1274.199951171875,1274.4000244140625,31810
2025-12-11 09:55:00,1274.0999755859375,1275.0,1274.0999755859375,1274.699951171875,38822
2025-12-12 09:15:00,1275.4000244140625,1275.9000244140625,1273.9000244140625,1274.0,23033
2025-12-12 09:20:00,1275.800048828125,1276.0,1275.5,1275.9000244140625,867
2025-12-12 09:25:00,1275.5999755859375,1276.4000244140625,1275.5,1275.699951171875,4971
2025-12-12 09:30:00,1277.699951171875,1277.800048828125,1275.5999755859375,1276.5999755859375,40965
2025-12-12 09:35:00,1278.9000244140625,1280.4000244140625,1277.699951171875,1277.699951171875,90412
2025-12-12 09:40:00,1277.0,1279.0999755859375,1277.0,1279.0999755859375,34632
2025-12-12 09:45:00,1280.300048828125,1280.300048828125,1277.0,1277.4000244140625,157854
2025-12-12 09:50:00,1280.0999755859375,1280.300048828125,1279.5999755859375,1280.300048828125,43440
2025-12-12 09:55:00,1279.300048828125,1280.300048828125,1275.9000244140625,1280.199951171875,107620
2025-12-15 09:15:00,1281.5,1282.5999755859375,1281.0,1281.800048828125,24441
2025-12-15 09:20:00,1281.5999755859375,1282.0,1281.0,1281.0,6960
2025-12-15 09:25:00,1281.4000244140625,1281.9000244140625,1281.0,1281.699951171875,12701
2025-12-15 09:30:00,1279.4000244140625,1281.300048828125,1279.0,1281.300048828125,35189
2025-12-15 09:35:00,1280.5999755859375,1281.199951171875,1279.5999755859375,1279.699951171875,72425
2025-12-15 09:40:00,1281.0,1281.5,1280.199951171875,1280.699951171875,39508
2025-12-15 09:45:00,1279.9000244140625,1281.699951171875,1279.9000244140625,1281.300048828125,74217
2025-12-15 09:50:00,1281.0,1281.0999755859375,1279.5999755859375,1280.0,70693
2025-12-15 09:55:00,1280.5999755859375,1281.0,1277.5999755859375,1280.199951171875,25967
