Datetime,Close,High,Low,Open,Volume
,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
2025-12-10 09:15:00,11324.0,11336.0,11324.0,11330.0,1769
2025-12-10 09:20:00,11319.0,11326.0,11300.0,11323.0,4652
2025-12-10 09:25:00,11306.0,11319.0,11306.0,11312.0,15605
2025-12-10 09:30:00,11311.0,11318.0,11301.0,11308.0,4565
2025-12-10 09:35:00,11316.0,11318.0,11305.0,11312.0,17918
2025-12-10 09:40:00,11326.0,11329.0,11315.0,11316.0,5163
2025-12-10 09:45:00,11323.0,11326.0,11319.0,11324.0,7044
2025-12-10 09:50:00,11316.0,11326.0,11315.0,11326.0,9403
2025-12-10 09:55:00,11317.0,11325.0,11315.0,11322.0,5665
2025-12-11 09:15:00,11419.0,11426.0,11414.0,11422.0,3286
2025-12-11 09:20:00,11440.0,11440.0,11416.0,11419.0,2025
2025-12-11 09:25:00,11445.0,11451.0,11440.0,11445.0,1119
2025-12-11 09:30:00,11460.0,11460.0,11449.0,11449.0,1302
2025-12-11 09:35:00,11482.0,11484.0,11458.0,11458.0,2900
2025-12-11 09:40:00,11476.0,11484.0,11475.0,11484.0,3247
2025-12-11 09:45:00,11476.0,11479.0,11470.0,11475.0,7747
2025-12-11 09:50:00,11472.0,11475.0,11470.0,11474.0,3897
2025-12-11 09:55:00,11455.0,11473.0,11455.0,11472.0,4227
2025-12-12 09:15:00,11700.0,11704.0,11693.0,11703.0,2140
2025-12-12 09:20:00,11700.0,11700.0,11696.0,11700.0,2728
2025-12-12 09:25:00,11708.0,11710.0,11700.0,11700.0,1014
2025-12-12 09:30:00,11727.0,11728.0,11708.0,11708.0,6079
2025-12-12 09:35:00,11730.0,11730.0,11716.0,11728.0,4977
2025-12-12 09:40:00,11727.0,11727.0,11722.0,11725.0,7715
2025-12-12 09:45:00,11734.0,11735.0,11726.0,11727.0,6773
2025-12-12 09:50:00,11728.0,11731.0,11721.0,11731.0,9885
2025-12-12 09:55:00,11723.0,11736.0,11706.0,11728.0,9329
2025-12-15 09:15:00,11731.0,11746.0,11727.0,11742.0,4316
2025-12-15 09:20:00,11739.0,11743.0,11730.0,11730.0,1798
2025-12-15 09:25:00,11738.0,11739.0,11735.0,11739.0,1608
2025-12-15 09:30:00,11725.0,11744.0,11725.0,11737.0,3248
2025-12-15 09:35:00,11731.0,11731.0,11725.0,11725.0,2435
2025-12-15 09:40:00,11733.0,11739.0,11729.0,11734.0,3394
2025-12-15 09:45:00,11726.0,11735.0,11725.0,11731.0,2952
2025-12-15 09:50:00,11718.0,11726.0,11714.0,11726.0,4365
2025-12-15 09:55:00,11728.0,11734.0,11703.0,11719.0,4491
2025-12-16 09:15:00,11545.0,11550.0,11537.0,11544.0,3771
2025-12-16 09:20:00,11557.0,11557.0,11539.0,11545.0,4991
2025-12-16 09:25:00,11547.0,11557.0,11542.0,11552.0,4674
2025-12-16 09:30:00,11529.0,11556.0,11529.0,11554.0,6427
2025-12-16 09:35:00,11532.0,11534.0,11528.0,11534.0,5399
2025-12-16 09:40:00,11524.0,11531.0,11518.0,11531.0,6715
2025-12-16 09:45:00,11517.0,11534.0,11515.0,11524.0,8660
2025-12-16 09:50:00,11532.0,11532.0,11512.0,11517.0,8604
2025-12-16 09:55:00,11530.0,11540.0,11520.0,11530.0,6747
2025-12-17 09:15:00,11506.0,11512.0,11500.0,11508.0,2258
2025-12-17 09:20:00,11514.0,11524.0,11505.0,11505.0,2784
2025-12-17 09:25:00,11520.0,11525.0,11508.0,11515.0,2002
2025-12-17 09:30:00,11537.0,11545.0,11527.0,11527.0,5250
2025-12-17 09:35:00,11544.0,11548.0,11537.0,11540.0,5631
2025-12-17 09:40:00,11532.0,11548.0,11530.0,11543.0,3804
2025-12-17 09:45:00,11539.0,11540.0,11530.0,11531.0,4242
2025-12-17 09:50:00,11538.0,11543.0,11529.0,11540.0,9149
2025-12-17 09:55:00,11540.0,11546.0,11521.0,11540.0,0
2025-12-18 09:15:00,11445.0,11450.0,11445.0,11446.0,458
2025-12-18 09:20:00,11428.0,11450.0,11422.0,11450.0,7393
2025-12-18 09:25:00,11444.0,11445.0,11428.0,11428.0,4910
2025-12-18 09:30:00,11462.0,11462.0,11440.0,11444.0,5895
2025-12-18 09:35:00,11458.0,11465.0,11455.0,11460.0,2527
2025-12-18 09:40:00,11462.0,11463.0,11457.0,11458.0,3735
2025-12-18 09:45:00,11465.0,11465.0,11460.0,11462.0,3813
2025-12-18 09:50:00,11466.0,11467.0,11462.0,11465.0,3916
2025-12-18 09:55:00,11461.0,11477.0,11461.0,11470.0,4496
2025-12-19 09:15:00,11516.0,11524.0,11515.0,11517.0,868
2025-12-19 09:20:00,11506.0,11520.0,11499.0,11520.0,1661
2025-12-19 09:25:00,11503.0,11512.0,11500.0,11500.0,1405
2025-12-19 09:30:00,11492.0,11500.0,11483.0,11500.0,17170
2025-12-19 09:35:00,11497.0,11500.0,11490.0,11490.0,12811
2025-12-19 09:40:00,11504.0,11506.0,11493.0,11497.0,15054
2025-12-19 09:45:00,11498.0,11511.0,11496.0,11505.0,15190
2025-12-19 09:50:00,11492.0,11500.0,11491.0,11498.0,13616
2025-12-19 09:55:00,11496.0,11526.0,11491.0,11492.0,12763
2025-12-22 09:15:00,11532.0,11537.0,11530.0,11533.0,611
2025-12-22 09:20:00,11531.0,11534.0,11530.0,11530.0,636
2025-12-22 09:25:00,11535.0,11535.0,11530.0,11534.0,790
2025-12-22 09:30:00,11535.0,11535.0,11530.0,11534.0,4439
2025-12-22 09:35:00,11530.0,11535.0,11530.0,11535.0,3567
2025-12-22 09:40:00,11533.0,11534.0,11530.0,11530.0,3528
2025-12-22 09:45:00,11530.0,11534.0,11530.0,11533.0,4256
2025-12-22 09:50:00,11531.0,11531.0,11530.0,11531.0,5762
2025-12-22 09:55:00,11530.0,11534.0,11530.0,11532.0,5244
2025-12-23 09:15:00,11661.0,11670.0,11652.0,11660.0,2677
2025-12-23 09:20:00,11665.0,11670.0,11657.0,11657.0,842
2025-12-23 09:25:00,11673.0,11674.0,11665.0,11671.0,1240
2025-12-23 09:30:00,11674.0,11689.0,11673.0,11682.0,1724
2025-12-23 09:35:00,11675.0,11691.0,11672.0,11674.0,2685
2025-12-23 09:40:00,11684.0,11690.0,11677.0,11678.0,2417
2025-12-23 09:45:00,11678.0,11687.0,11676.0,11679.0,3619
2025-12-23 09:50:00,11678.0,11678.0,11668.0,11677.0,6433
2025-12-23 09:55:00,11680.0,11680.0,11665.0,11679.0,3530
2025-12-24 09:15:00,11770.0,11778.0,11770.0,11772.0,2475
2025-12-24 09:20:00,11779.0,11780.0,11761.0,11772.0,2609
2025-12-24 09:25:00,11763.0,11780.0,11760.0,11779.0,2518
2025-12-24 09:30:00,11755.0,11765.0,11753.0,11765.0,5457
2025-12-24 09:35:00,11760.0,11767.0,11754.0,11754.0,5714
2025-12-24 09:40:00,11761.0,11773.0,11760.0,11760.0,4902
2025-12-24 09:45:00,11770.0,11772.0,11760.0,11761.0,4827
2025-12-24 09:50:00,11770.0,11775.0,11767.0,11770.0,5618
2025-12-24 09:55:00,11764.0,11774.0,11760.0,11772.0,3649
2025-12-26 09:15:00,11793.0,11813.0,11790.0,11793.0,2940
2025-12-26 09:20:00,11798.0,11798.0,11791.0,11793.0,993
2025-12-26 09:25:00,11801.0,11806.0,11795.0,11798.0,2178
2025-12-26 09:30:00,11794.0,11801.0,11791.0,11801.0,1856
2025-12-26 09:35:00,11798.0,11799.0,11788.0,11794.0,2404
2025-12-26 09:40:00,11819.0,11819.0,11800.0,11800.0,2513
2025-12-26 09:45:00,11806.0,11817.0,11800.0,11814.0,3027
2025-12-26 09:50:00,11782.0,11805.0,11780.0,11805.0,2724
2025-12-26 09:55:00,11764.0,11790.0,11764.0,11790.0,4004
2025-12-29 09:15:00,11793.0,11798.0,11781.0,11787.0,1242
2025-12-29 09:20:00,11795.0,11800.0,11787.0,11791.0,1216
2025-12-29 09:25:00,11798.0,11802.0,11792.0,11800.0,6815
2025-12-29 09:30:00,11789.0,11803.0,11781.0,11798.0,3597
2025-12-29 09:35:00,11801.0,11802.0,11784.0,11789.0,8791
2025-12-29 09:40:00,11797.0,11802.0,11793.0,11802.0,4362
2025-12-29 09:45:00,11805.0,11805.0,11798.0,11800.0,4113
2025-12-29 09:50:00,11805.0,11809.0,11791.0,11805.0,5397
2025-12-29 09:55:00,11799.0,11820.0,11793.0,11808.0,4110
2025-12-30 09:15:00,11682.0,11687.0,11677.0,11687.0,2529
2025-12-30 09:20:00,11679.0,11691.0,11669.0,11681.0,3046
2025-12-30 09:25:00,11681.0,11690.0,11678.0,11679.0,2249
2025-12-30 09:30:00,11694.0,11699.0,11687.0,11688.0,8615
2025-12-30 09:35:00,11701.0,11701.0,11688.0,11696.0,12134
2025-12-30 09:40:00,11722.0,11722.0,11700.0,11701.0,8195
2025-12-30 09:45:00,11718.0,11722.0,11709.0,11722.0,7346
2025-12-30 09:50:00,11717.0,11718.0,11701.0,11718.0,8192
2025-12-30 09:55:00,11705.0,11720.0,11701.0,11717.0,5212
2025-12-31 09:15:00,11772.0,11784.0,11770.0,11784.0,2467
2025-12-31 09:20:00,11781.0,11785.0,11771.0,11774.0,1820
2025-12-31 09:25:00,11789.0,11790.0,11780.0,11785.0,1712
2025-12-31 09:30:00,11780.0,11790.0,11780.0,11789.0,4438
2025-12-31 09:35:00,11790.0,11790.0,11779.0,11780.0,5183
2025-12-31 09:40:00,11786.0,11787.0,11778.0,11785.0,4189
2025-12-31 09:45:00,11787.0,11793.0,11782.0,11787.0,3367
2025-12-31 09:50:00,11782.0,11787.0,11778.0,11785.0,5388
2025-12-31 09:55:00,11784.0,11792.0,11780.0,11784.0,8600
2026-01-01 09:15:00,11877.0,11880.0,11875.0,11875.0,406
2026-01-01 09:20:00,11877.0,11880.0,11875.0,11877.0,224
2026-01-01 09:25:00,11894.0,11904.0,11877.0,11880.0,4543
2026-01-01 09:30:00,11890.0,11899.0,11890.0,11899.0,1520
2026-01-01 09:35:00,11896.0,11900.0,11890.0,11890.0,1434
2026-01-01 09:40:00,11906.0,11906.0,11895.0,11895.0,2108
2026-01-01 09:45:00,11900.0,11906.0,11898.0,11906.0,1439
2026-01-01 09:50:00,11900.0,11905.0,11900.0,11904.0,2063
2026-01-01 09:55:00,11901.0,11913.0,11896.0,11897.0,2717
2026-01-02 09:15:00,11888.0,11899.0,11886.0,11895.0,1164
2026-01-02 09:20:00,11894.0,11900.0,11887.0,11888.0,1242
2026-01-02 09:25:00,11886.0,11897.0,11886.0,11894.0,649
2026-01-02 09:30:00,11895.0,11900.0,11887.0,11887.0,2617
2026-01-02 09:35:00,11897.0,11900.0,11889.0,11895.0,5432
2026-01-02 09:40:00,11887.0,11904.0,11887.0,11900.0,6026
2026-01-02 09:45:00,11896.0,11900.0,11889.0,11889.0,14637
2026-01-02 09:50:00,11905.0,11905.0,11893.0,11896.0,8781
2026-01-02 09:55:00,11920.0,11920.0,11880.0,11910.0,7841
2026-01-05 09:15:00,12063.0,12067.0,12057.0,12063.0,1998
2026-01-05 09:20:00,12072.0,12079.0,12061.0,12065.0,3465
