Datetime,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK,SBIN,LT,KOTAKBANK,AXISBANK,ITC,BHARTIARTL,ASIANPAINT,MARUTI,BAJFINANCE,HCLTECH,WIPRO,TITAN,ULTRACEMCO,ONGC,POWERGRID,ADANIENT,ADANIPORTS,DRREDDY,CIPLA,GRASIM,cross_stock_momentum,market_volatility
2025-12-10 09:20:00,-0.000584963231732627,0.00021988297135178136,-0.0005673322225770994,0.00020201213207049484,-7.34089023756157e-05,-0.00031281313135422817,-5.0204929903485684e-05,0.0003291463110939308,0.0005481215128231298,-0.0004958633659960521,-0.003184181826170085,-0.0002852020683198342,-0.0029378672334041678,-0.000396259944588806,-6.004179172625079e-05,-0.00030966541248822477,-0.0011692563232902353,-0.00044154009184038667,0.00041861074119120545,-0.001127464500809361,-0.0029212168957462037,-0.0021971030813082715,-0.0019155753590035518,-0.0001342224464179198,-0.001201546997314784,-0.0007459182435134659,0.0010623025505727465
2025-12-10 09:25:00,0.00013011201699986152,0.0001255540898210672,0.00012612828216518324,0.0001010164822041748,0.0009545650691753504,0.00046939835329218305,0.0005775389398932074,-4.703615911905157e-05,7.834206783696729e-05,0.0006201934909815243,0.000484003655551124,0.0005705668634892191,0.001253839884646668,0.0005946255431681369,0.0003603456972598451,0.00027111503325771835,0.0012486159479629944,-0.0011485113525929735,0.001213361029844373,0.0007524914078891332,0.0006309845317453711,0.0016681124183963725,7.994848935433119e-05,0.0008728088809164536,0.00018226888630068494,0.0004868155820175968,0.0005506269581592544
2025-12-10 09:30:00,0.00026011080545695897,0.0011614977780176616,-0.0007568282383317859,-0.0006058527931162017,0.0005135890651648545,0.00046911448722530835,0.0010539929533253112,0.0006109251924253378,0.0009390758538281307,0.0,0.00019346056061997352,0.0008552752472381631,0.0021914720430780132,0.0008913175874278867,0.0001201208243997165,-0.00011614378529722913,0.00036377835742684717,0.00044224305678408626,-4.1767341369736144e-05,-0.00018792403371714617,-0.0021621841568130185,-0.0013988646777520763,0.001679174497787539,0.0007378424670714256,0.0006925489369067339,0.00031623898751147016,0.0008930974616949152
2025-12-10 09:35:00,-0.000325034118266343,0.0004390275008816502,0.0002524157870511523,-0.00020207335774691249,-7.339613775203535e-05,0.00041686580266753204,0.0001754703363938681,0.0,0.0,-0.0004958775356506129,0.0003385495389964799,-0.0008545443765850536,0.0004373359990004211,-0.0010884381679306943,-0.00042026246948423385,-0.0005809045473150753,-0.0005973687242439851,0.0004420475643178712,-0.0003343439964176298,-0.0007520669217926379,-0.0007222163014126703,-0.000867138135536516,-0.00015961617280180196,0.0,0.000254935586749383,-0.00018866531387511375,0.0004603240811330134
2025-12-10 09:40:00,0.0003251397997945382,-0.0010656761675875703,6.316505290238084e-05,-0.00020205252304783539,-0.0009532351722205679,0.0005729039510091738,0.0006517025560999201,-4.7009652242469e-05,0.000703693834294361,-0.0003720548152181813,-0.0005801910841333191,-0.0005345687811831867,0.0004371448198339234,0.0008915546449355105,0.00048048095601194163,0.0003874553841045625,0.00023386235544431422,0.0008837044892187063,0.000668911639426284,0.0009407337723423836,-0.000271095785045139,0.0006676458588597001,-0.0006387615394211066,-0.00013410633347643586,0.00021842242470238027,0.00013311078741617076,0.0005758813157417658
2025-12-10 09:45:00,-0.0007801294962590521,-0.0005019620796106183,-6.316106333037474e-05,0.0007074501259385357,0.0006606168510967514,-0.0005725759200022607,-0.00015031376622764991,4.701186225375409e-05,-0.0007813110250215471,0.00024815410301637364,-0.0018867452074262658,-0.0007131395970760845,0.000811485642946419,0.0008907000763664907,-0.000360151015754151,-0.0013941573272742147,-0.0005455723892290321,-0.00026487727352997315,-0.00016708424979472447,-0.00037596279517149167,-0.0032083586336421055,-0.0004003853994528628,-0.0009586572011539563,6.710307670876325e-05,0.00014567202977922022,-0.00038185402687400226,0.0008651041403764975
2025-12-10 09:50:00,-0.0022770151945814554,0.0007533595775299773,-0.0008833863740039805,0.00030304902082956,0.0,-0.0010937372843424775,0.0007515594951266191,0.0008453854687575646,-0.0008600950542959618,0.0,0.0014056042879568853,0.00014269485950046956,-0.00018711407721572204,-0.0008899074357455738,0.00030024619308210987,-0.0003878460389699079,-0.0002599563240373026,-0.0006182107215402244,-0.0001671759305424958,-0.003384708225434352,0.0012693453701819735,-0.0008009285882945028,-0.0016793087452519062,-0.00046928088166875437,0.00025477783985539126,-0.0003173059505241627,0.0010522077298064654
2025-12-10 09:55:00,-6.519013271322205e-05,0.0003763962270624255,0.0009473883368538161,0.0013125886115945562,0.00022000054798665403,0.0008342330494657269,-0.0008511033082103658,-0.000750874707816318,0.0006260187253444016,0.0,0.0004840271055179812,0.0005708722080699502,-0.0018091079226449924,-9.900694643361074e-05,6.001655841458842e-05,0.0008923801603419879,-2.602778485072399e-05,8.837044892184842e-05,-0.0001253710274570219,0.0013207777491155426,0.0013130558919223212,0.0007347866305527084,-0.001041371998318552,-0.0007376940540189114,-0.00043666345410298124,0.00015354003658391236,0.0007770774041707163
2025-12-11 09:15:00,0.005868927290511916,-0.001630487661949287,0.0042907158936804635,0.008066955633282635,-0.002640052545021976,0.0010419380046886584,0.0016786388118934514,0.024747613749634523,-0.003754048842064872,-0.0007442776135055951,-0.008901742788461564,-0.009056838061597405,0.013436660208737017,-0.006730662055953851,0.0009004141773318874,0.0019381346565896518,0.0005460898361584476,0.009012989308120556,-0.0030930219150011595,-0.0033917236698056685,0.02518536295549234,0.003270826042264696,0.018362621171011728,0.012147634621434644,0.01834858797430572,0.004356050207271078,0.00947603139879721
2025-12-11 09:20:00,-6.48139941248349e-05,0.0005967029974089932,0.0008168188288935063,0.0009002334379486499,0.00022062413832713013,0.0007806401249024209,0.0003501506612682004,-0.0002749406940616428,-0.0007850525684309773,0.0006206554309244883,0.0006833458347246246,0.0004677070425049834,0.0009250123334978433,0.0017937098086384662,0.00035982702240167086,0.0008511343676582683,-0.00046781246563820655,0.001839040196164321,-0.00012577577454964128,0.00018902548936017283,0.0019405911211549665,0.0,0.0004724217212106474,0.00026525059381898863,-0.00017875018187041292,0.00048702981888530504,0.0006669999265472433
